id,category,subcategory
2e8957de053bad5ec996a84a5f4efdf67d90d1d1d242951f7605863b0675270d,dashboards,
1e939330915a079eb51fdac6f49eaee7e7a8cf11f0d34e6ffce1e9fcaffedf4a,dashboards,
a4032d86f7ed5f395add369b71cdae0c2b1d2b58cfe0dc3cc5b2f95ffee606fa,infrastructure,infrastructure list
c447c1f926ce275a874ab61ab12a2dcf47df9b4bf8b83a614dbbe8ccf5acfafb,monitors,
11322ce566bcb4cc566da77598d3c9006248c51874ffa72fdcf3cea3cd92b7bb,monitors,triggered monitors
075b713117109adea060418f72d861ca7d10bf01f736f2c715b33830ac96aeaa,dashboards,
3b1ce4474920dcd855c1ac42b5162355b8d298ad5d0a856bdcfd367800acfdd3,infrastructure,
d153644d52c3f19ab90a80a45b5178b297a2411aaebfc503ebb50c26be07a9cd,infrastructure,containers
7404e8e39155e0396ead3ccbc765c0a4dac862c1852042f0ecdac0eea5572ebe,infrastructure,processes
89347bb23a645278522a8cfd5dd8001ca6b244aa6898972d5af26a6dbaf33f55,dashboards,
3c6133eb397a50f2a45a43ce2648a9e1f19ad1118d4e0f0544b2dab1a5791f5b,monitors,monitor downtimes
8722f97534bb6e43764f1ba048d634905a4235957b20c168fdf18088a40777e5,monitors,check summary
1e07ff5a98453ea19f44af024b55c96eeecacdd0774f2e75d021d9de1fb55d35,infrastructure,host map
b1928cc46ec59444d0a81be91b0b060258e2a1c61b879950326ccce874da8744,infrastructure,cloud functions
c8bf24d9ee3d44e117e0882d0f896740681c5ba2e726f4d81343d020d3e6d554,monitors,manage monitors
8a454cb82bc115eb77d394bec2de85ad6f3a2a0e0f2daffd4a0b95581fa10fc5,dashboards,
85c940db144fe5ffc80ec9a27bd1e1608e639aee9ffee7f15ff22441a7947693,monitors,new monitor
5630370e562a17aef35ff7b499884675d148da145a517bf6768eb4154a06ab5d,infrastructure,network
a022242f1bdfdc268c098e8c87dd245e37737b27e1a53c8ee412c695b6d8709e,dashboards,
63946777243916a2a59b1a4424fc9d3e6b77b61c3a4dbba5e9ceff2f6e88c32a,dashboards,dashboard lists
